Edge	Weight
0 - 0	0
0 - 1	3
1 - 0	3
1 - 1	0
1 - 2	6
2 - 0	3
2 - 1	6
2 - 2	0
2 - 3	6
3 - 0	3
3 - 1	6
3 - 2	6
3 - 3	0
3 - 4	5
4 - 0	2
4 - 1	1
4 - 2	5
4 - 3	5
4 - 4	0
4 - 5	3
5 - 0	3
5 - 1	2
5 - 2	4
5 - 3	6
5 - 4	3
5 - 5	0
5 - 6	2
6 - 0	3
6 - 1	4
6 - 2	2
6 - 3	6
6 - 4	5
6 - 5	2
6 - 6	0
6 - 7	4
7 - 0	3
7 - 1	6
7 - 2	2
7 - 3	4
7 - 4	5
7 - 5	6
7 - 6	4
7 - 7	0
7 - 8	2
8 - 0	3
8 - 1	6
8 - 2	4
8 - 3	2
8 - 4	5
8 - 5	6
8 - 6	6
8 - 7	2
8 - 8	0
8 - 9	3
9 - 0	2
9 - 1	5
9 - 2	5
9 - 3	1
9 - 4	4
9 - 5	5
9 - 6	5
9 - 7	5
9 - 8	3
9 - 9	0
9 - 10	4
10 - 0	2
10 - 1	3
10 - 2	3
10 - 3	5
10 - 4	2
10 - 5	1
10 - 6	3
10 - 7	5
10 - 8	5
10 - 9	4
10 - 10	0
10 - 11	5
11 - 0	3
11 - 1	4
11 - 2	4
11 - 3	4
11 - 4	5
11 - 5	4
11 - 6	2
11 - 7	2
11 - 8	4
11 - 9	5
11 - 10	5
11 - 11	0
11 - 12	5
12 - 0	2
12 - 1	5
12 - 2	3
12 - 3	3
12 - 4	4
12 - 5	5
12 - 6	5
12 - 7	3
12 - 8	1
12 - 9	2
12 - 10	4
12 - 11	5
12 - 12	0
12 - 13	4
13 - 0	2
13 - 1	3
13 - 2	3
13 - 3	5
13 - 4	2
13 - 5	3
13 - 6	3
13 - 7	5
13 - 8	5
13 - 9	4
13 - 10	2
13 - 11	5
13 - 12	4
13 - 13	0
13 - 14	3
14 - 0	3
14 - 1	4
14 - 2	4
14 - 3	4
14 - 4	3
14 - 5	2
14 - 6	4
14 - 7	4
14 - 8	4
14 - 9	5
14 - 10	1
14 - 11	4
14 - 12	5
14 - 13	3
14 - 14	0
14 - 15	2
15 - 0	3
15 - 1	4
15 - 2	4
15 - 3	4
15 - 4	3
15 - 5	4
15 - 6	4
15 - 7	2
15 - 8	4
15 - 9	5
15 - 10	3
15 - 11	2
15 - 12	5
15 - 13	5
15 - 14	2
15 - 15	0
15 - 16	4
16 - 0	3
16 - 1	4
16 - 2	4
16 - 3	4
16 - 4	5
16 - 5	4
16 - 6	2
16 - 7	4
16 - 8	4
16 - 9	3
16 - 10	5
16 - 11	2
16 - 12	3
16 - 13	5
16 - 14	6
16 - 15	4
16 - 16	0
16 - 17	2
17 - 0	3
17 - 1	4
17 - 2	4
17 - 3	4
17 - 4	5
17 - 5	4
17 - 6	4
17 - 7	4
17 - 8	2
17 - 9	3
17 - 10	5
17 - 11	4
17 - 12	1
17 - 13	5
17 - 14	6
17 - 15	6
17 - 16	2
17 - 17	0
17 - 18	3
18 - 0	2
18 - 1	5
18 - 2	3
18 - 3	3
18 - 4	4
18 - 5	5
18 - 6	5
18 - 7	3
18 - 8	3
18 - 9	2
18 - 10	4
18 - 11	5
18 - 12	2
18 - 13	4
18 - 14	5
18 - 15	5
18 - 16	5
18 - 17	3
18 - 18	0
18 - 19	5
19 - 0	3
19 - 1	4
19 - 2	4
19 - 3	4
19 - 4	3
19 - 5	4
19 - 6	4
19 - 7	4
19 - 8	4
19 - 9	5
19 - 10	3
19 - 11	4
19 - 12	5
19 - 13	1
19 - 14	2
19 - 15	4
19 - 16	6
19 - 17	6
19 - 18	5
19 - 19	0
19 - 20	6
20 - 0	3
20 - 1	4
20 - 2	4
20 - 3	4
20 - 4	3
20 - 5	4
20 - 6	4
20 - 7	4
20 - 8	4
20 - 9	3
20 - 10	3
20 - 11	4
20 - 12	3
20 - 13	5
20 - 14	4
20 - 15	2
20 - 16	2
20 - 17	4
20 - 18	5
20 - 19	6
20 - 20	0
20 - 21	6
21 - 0	3
21 - 1	4
21 - 2	4
21 - 3	4
21 - 4	5
21 - 5	4
21 - 6	4
21 - 7	4
21 - 8	4
21 - 9	3
21 - 10	5
21 - 11	4
21 - 12	3
21 - 13	5
21 - 14	6
21 - 15	6
21 - 16	4
21 - 17	2
21 - 18	1
21 - 19	6
21 - 20	6
21 - 21	0
21 - 22	5
22 - 0	2
22 - 1	5
22 - 2	3
22 - 3	3
22 - 4	4
22 - 5	3
22 - 6	3
22 - 7	3
22 - 8	3
22 - 9	4
22 - 10	2
22 - 11	3
22 - 12	4
